source,target
"o brother,help me with thy fainting hand,if fear hath made thee faint,as me it hath,out of this fell devouring receptacle,as hateful as cocytus misty mouth.","yo bro, pass me your shaky hand—if fear got you bailing like me, then ditch that gross, savage maw."
"lucius,all hail,romes gracious governor!","lucius, big ups to rome’s chill governor!"
"i have given over,i will speak no more.","i’m over it, no more talk."
"rogues,hence,avaunt!","yo rogues, scram!"
"there end thy brave,and turn thy face in peace;we grant thou canst outscold us.","drop the tough act and chill; if you wanna roast us, go ahead."
"now,my young guest,methinks youre allycholly.","hey kid, i think you’re hella bummed."
never may that state or fortune fall into my keeping which is not owed to you.,i won’t hold any swag that isn’t already all yours.
"ill deliver all;and promise you calm seas,auspicious gales,and sail so expeditious that shall catch your royal fleet far off.","i got you—i’ll drop everything and hook you up with smooth seas, lit winds, and a ride so fast your royal crew gets left in the dust."
"then,good my liege,let me have what is mine,my fathers land,as was my fathers will.","aight, my liege, hand over my dad’s land just like he wanted."
"till breathless he disjoind,and backward drew the heavenly moisture,that sweet coral mouth,whose precious taste her thirsty lips well knew,whereon they surfeit,yet complain on drouth,he with her plenty pressd,she faint with dearth,their lips together glued,fall to the earth.",until he’s gasping and pulls that heavenly drip from her dope coral lips—so hard they end up stuck and crash to the ground.
"smile you my speeches,as i were a fool?","you vibing with my rants, or am i just clowning?"
"so i grow stronger,you more honour gain.",i’m leveling up while you rack up mad respect.
"maiden,no remedy.","sis, there’s no fix for that."
he shall be endurd.,"he’s gonna come through, for real."
"tell gentle jessica i will not fail her,speak it privately.","slide jessica the word: i won’t let her down—keep it 100, talk on the low."
wilt thou love such a woman?,you down to love a girl like that?
"therefore put you in your best array,bid your friends;for if you will be married tomorrow,you shall,and to rosalind,if you will.","so flex your best drip, tell your crew; if you’re tying the knot tomorrow, it’s a go—and same for rosalind."
think upon patience.,"just chill, patience is key."
a plague of all cowards!,"screw all the cowards, fr."
"he said mine eyes were black and my hair black,and now i am remembered,scorned at me.","he went off about my eyes and hair being all black, and now i’m catching major shade."
correction and instruction must both work ere this rude beast will profit.,both a reality check and some guidance gotta hit this rude dude before he can level up.
